,Cropland,Cropland,Deciduous,Deciduous,Evergreen,Evergreen,Grassland,Grassland
,evi,lswi,evi,lswi,evi,lswi,evi,lswi
2021-01-24,,,,,0.318,0.686,,
2021-02-20,0.478,0.261,,,0.38,0.334,0.484,0.223
2021-02-23,0.444,0.265,,,0.292,0.38,0.499,0.256
2021-02-25,0.469,0.238,0.279,0.034,0.302,0.389,0.555,0.274
2021-03-02,0.494,0.24,0.235,-0.046,0.318,0.413,0.567,0.253
2021-03-12,0.489,0.26,0.421,0.151,0.31,0.287,0.563,0.196
2021-03-20,0.536,0.404,,,0.354,0.519,0.749,0.426
2021-03-25,,,,,0.315,0.402,,
2021-03-30,,,0.255,0.016,0.302,0.352,0.767,0.419
2021-04-01,0.566,0.308,0.271,-0.039,0.337,0.343,0.721,0.378
2021-04-04,0.528,0.3,0.264,-0.003,0.306,0.414,0.729,0.421
2021-04-11,0.586,0.319,0.324,-0.002,0.344,0.341,0.749,0.404
2021-04-14,0.539,0.418,0.416,0.155,0.394,0.41,0.56,0.424
2021-04-16,0.646,0.344,0.294,-0.039,0.358,0.331,0.73,0.409
2021-04-19,0.653,0.359,,,0.342,0.321,0.919,0.468
2021-04-21,0.657,0.408,0.312,0.029,0.36,0.331,0.756,0.391
2021-04-24,0.667,0.427,0.325,0.094,0.317,0.384,0.739,0.41
2021-05-09,0.643,0.477,0.578,0.341,0.348,0.368,0.767,0.454
2021-05-14,0.66,0.54,0.767,0.431,0.492,0.455,,
2021-05-19,0.639,0.64,,,,,0.766,0.555
2021-05-29,0.677,0.527,0.732,0.438,0.53,0.325,0.792,0.44
2021-05-31,0.749,0.515,0.775,0.419,0.52,0.432,0.751,0.387
2021-06-03,0.656,0.413,0.59,0.335,0.544,0.512,0.656,0.342
2021-06-08,,,0.48,0.232,,,,
2021-06-10,0.701,0.499,0.75,0.4,0.522,0.456,0.802,0.429
2021-06-13,0.778,0.572,0.822,0.461,0.572,0.499,0.751,0.318
2021-06-15,0.785,0.518,0.768,0.411,0.56,0.449,0.692,0.335
2021-06-18,0.659,0.471,0.643,0.402,0.456,0.4,0.598,0.333
2021-06-23,,,0.853,0.484,0.657,0.422,0.894,0.416
2021-06-30,0.667,0.438,0.877,0.389,,,,
2021-07-10,0.374,0.303,0.745,0.401,0.547,0.476,0.769,0.361
2021-07-18,0.387,0.321,0.77,0.427,0.555,0.501,0.62,0.362
2021-07-20,0.566,0.271,0.744,0.391,0.563,0.437,0.794,0.323
2021-07-23,0.399,0.061,0.661,0.404,0.425,0.525,0.754,0.336
2021-07-30,,,0.757,0.375,,,0.689,0.315
2021-08-02,0.588,0.319,0.702,0.407,0.582,0.523,0.794,0.347
2021-08-12,0.519,0.27,0.631,0.386,0.454,0.492,0.754,0.353
2021-08-14,0.606,0.264,0.643,0.347,0.481,0.441,0.763,0.343
2021-08-17,0.53,0.332,0.618,0.319,0.425,0.325,,
2021-08-27,0.58,0.267,,,,,,
2021-09-01,0.536,0.317,0.588,0.398,0.422,0.535,0.706,0.332
2021-09-03,0.531,0.174,0.618,0.364,0.451,0.48,0.724,0.313
2021-09-06,0.485,0.204,0.576,0.378,0.409,0.5,0.697,0.293
2021-09-08,0.543,0.229,0.628,0.362,0.458,0.472,0.7,0.273
2021-09-11,0.677,0.457,0.63,0.392,0.439,0.537,0.644,0.228
2021-09-13,0.472,0.27,0.605,0.358,0.451,0.492,0.666,0.256
2021-09-16,,,0.74,0.407,0.292,0.352,,
2021-09-18,0.521,0.302,0.603,0.366,0.447,0.516,0.733,0.321
2021-09-21,0.545,0.326,0.58,0.399,0.399,0.575,0.765,0.378
2021-09-23,,,0.47,0.238,0.465,0.427,0.476,0.308
2021-10-01,0.571,0.374,0.538,0.39,0.396,0.554,0.772,0.392
2021-10-06,0.67,0.365,0.659,0.457,0.425,0.607,0.893,0.446
2021-10-13,0.57,0.437,0.53,0.397,0.441,0.552,0.543,0.424
2021-10-16,0.743,0.415,0.491,0.293,0.37,0.531,,
2021-10-18,0.624,0.294,0.504,0.346,0.402,0.522,0.792,0.434
2021-10-21,0.592,0.334,0.866,0.369,0.436,0.447,0.826,0.429
2021-10-23,0.589,0.362,0.419,0.315,0.37,0.54,0.682,0.373
2021-10-28,0.667,0.336,0.328,0.29,0.395,0.537,,
2021-10-31,0.558,0.351,0.322,0.222,0.33,0.55,0.653,0.369
2021-11-05,0.344,0.311,,,,,,
2021-11-07,,,0.281,0.161,0.364,0.494,0.638,0.374
2021-11-12,,,,,0.547,0.373,,
2021-11-27,0.742,0.522,,,,,0.536,0.454
2021-12-05,0.38,0.233,,,,,,
2021-12-07,0.46,0.519,,,0.347,0.607,0.699,0.397
2022-01-01,0.591,0.399,,,0.341,0.513,0.524,0.37
2022-01-14,0.439,0.375,,,0.318,0.721,,
2022-01-16,0.485,0.397,,,0.401,0.674,,
2022-01-19,0.43,0.331,,,0.322,0.662,0.615,0.322
2022-01-21,0.521,0.371,0.346,0.136,0.359,0.579,0.641,0.365
2022-01-26,0.457,0.313,0.265,0.034,0.407,0.555,0.701,0.385
2022-01-29,0.443,0.352,0.265,0.092,0.378,0.517,,
2022-02-05,0.423,0.274,0.25,0.054,0.356,0.525,0.602,0.34
2022-02-08,0.376,0.174,0.285,0.081,0.306,0.575,0.629,0.352
2022-02-10,0.395,0.228,0.244,-0.011,0.329,0.499,0.571,0.296
2022-02-13,0.37,0.249,0.231,0.019,0.289,0.52,0.56,0.323
2022-02-20,,,,,0.426,0.24,,
2022-02-23,,,0.258,0.035,0.345,0.341,0.627,0.343
2022-02-25,0.488,0.283,0.341,0.076,0.32,0.309,0.774,0.374
2022-02-28,0.379,0.243,0.245,-0.005,0.299,0.543,0.599,0.333
2022-03-05,0.41,0.181,0.235,-0.036,0.291,0.486,0.542,0.253
2022-03-07,0.432,0.198,0.272,-0.058,0.342,0.476,0.572,0.233
2022-03-10,0.427,0.208,0.251,-0.021,0.3,0.505,0.545,0.244
2022-03-20,0.463,0.24,0.279,0.037,0.305,0.453,0.6,0.299
2022-03-22,0.483,0.244,0.259,-0.032,0.328,0.424,0.611,0.287
2022-03-25,0.5,0.267,0.269,-0.003,0.302,0.42,0.624,0.311
2022-03-27,0.555,0.279,0.275,0.006,0.349,0.41,0.654,0.31
2022-04-04,0.647,0.409,,,,,0.756,0.347
2022-04-06,0.574,0.385,0.308,0.044,0.348,0.4,0.714,0.346
2022-04-09,0.416,0.642,,,0.502,0.489,0.698,0.497
2022-04-11,,,0.295,0.108,0.379,0.354,0.674,0.406
2022-04-14,0.693,0.481,0.326,0.097,0.317,0.382,0.717,0.399
2022-04-19,0.743,0.532,0.376,0.178,0.336,0.413,0.75,0.438
2022-04-21,0.76,0.514,0.414,0.184,0.356,0.382,0.764,0.419
2022-04-29,,,,,,,0.8,0.489
2022-05-01,0.848,0.587,0.642,0.387,0.402,0.435,0.922,0.486
2022-05-04,0.874,0.534,0.685,0.424,0.408,0.451,0.85,0.484
2022-05-11,0.729,0.422,0.738,0.409,0.457,0.422,0.791,0.393
2022-05-14,0.838,0.564,0.804,0.436,0.58,0.447,0.806,0.395
2022-05-16,0.803,0.513,0.82,0.413,0.511,0.43,0.679,0.298
2022-05-19,0.891,0.568,0.687,0.433,0.507,0.413,0.768,0.399
2022-05-21,,,,,0.648,0.395,,
2022-05-26,0.93,0.459,0.853,0.409,0.543,0.453,0.867,0.383
2022-05-29,1.04,0.589,,,0.685,0.492,0.821,0.338
2022-06-03,,,0.579,0.448,,,,
2022-06-08,0.701,0.482,0.698,0.432,0.489,0.491,0.691,0.376
2022-06-10,0.716,0.475,0.82,0.401,0.637,0.475,0.739,0.358
2022-06-13,0.458,0.356,0.728,0.403,,,0.622,0.309
2022-06-15,0.658,0.384,0.759,0.374,0.536,0.417,0.721,0.28
2022-06-18,0.516,0.353,0.663,0.395,0.462,0.41,0.606,0.265
2022-06-20,0.479,0.219,0.744,0.371,0.51,0.414,0.598,0.194
2022-06-23,0.446,0.323,0.69,0.404,0.458,0.458,0.567,0.215
2022-06-25,0.541,0.315,0.766,0.386,0.522,0.416,0.648,0.24
2022-06-30,,,0.773,0.388,0.568,0.376,0.737,0.304
2022-07-03,0.604,0.343,0.692,0.403,0.461,0.459,0.673,0.291
2022-07-05,0.528,0.351,0.894,0.301,0.583,0.377,0.754,0.318
2022-07-08,0.839,0.494,0.732,0.411,0.496,0.486,,
2022-07-10,0.997,0.458,0.794,0.381,0.6,0.457,0.719,0.27
2022-07-13,0.744,0.436,0.68,0.403,0.46,0.395,0.665,0.284
2022-07-15,0.808,0.439,0.745,0.369,0.512,0.43,0.669,0.226
2022-07-18,0.771,0.452,0.679,0.406,0.453,0.473,0.606,0.201
2022-07-20,0.926,0.388,0.851,0.352,0.64,0.357,0.545,0.217
2022-07-25,0.687,0.379,0.727,0.373,0.496,0.435,0.551,0.113
2022-07-28,0.698,0.494,0.73,0.398,0.39,0.477,,
2022-07-30,0.579,0.254,0.765,0.387,0.589,0.439,,
2022-08-02,0.551,0.26,0.656,0.389,0.435,0.446,0.494,0.106
2022-08-04,0.577,0.247,0.721,0.366,0.484,0.429,0.478,0.037
2022-08-09,0.683,0.33,0.691,0.379,0.467,0.448,0.509,0.103
2022-08-12,0.669,0.348,0.633,0.402,0.412,0.471,0.476,0.088
2022-08-17,0.729,0.329,0.687,0.404,0.429,0.495,0.482,0.056
2022-08-22,0.682,0.4,0.625,0.401,0.424,0.432,0.532,0.155
2022-08-29,0.487,0.158,0.68,0.354,0.437,0.417,0.496,0.125
2022-09-01,,,0.351,0.287,0.31,0.305,,
2022-09-08,0.796,0.373,0.694,0.386,0.497,0.445,0.7,0.221
2022-09-11,0.872,0.437,0.539,0.282,,,0.891,0.347
2022-09-13,0.744,0.401,0.656,0.368,0.451,0.444,0.684,0.287
2022-09-18,0.437,0.33,0.709,0.377,0.562,0.372,0.748,0.371
2022-09-21,0.613,0.387,0.587,0.408,0.365,0.508,0.767,0.389
2022-10-06,0.614,0.256,0.529,0.372,0.378,0.454,0.764,0.363
2022-10-11,0.522,0.264,0.511,0.284,0.346,0.462,0.682,0.354
2022-10-16,0.666,0.372,0.463,0.318,0.328,0.517,0.78,0.401
2022-10-18,0.695,0.357,0.445,0.254,0.34,0.447,0.751,0.371
2022-10-26,0.766,0.419,0.409,0.263,0.329,0.507,0.793,0.418
2022-10-28,0.412,0.354,,,0.435,0.329,0.465,0.2
2022-11-10,0.361,0.353,0.327,0.18,0.34,0.384,,
2022-11-20,0.412,0.365,,,,,0.962,0.342
2022-12-22,0.617,0.404,,,,,,
2023-01-01,0.538,0.35,,,0.35,0.448,0.619,0.358
2023-01-09,0.625,0.386,,,,,0.289,0.49
2023-01-31,0.338,0.505,,,,,,
2023-02-10,0.591,0.328,0.263,-0.014,0.322,0.472,0.671,0.363
2023-02-15,0.37,0.238,,,0.317,0.471,,
2023-02-20,0.532,0.271,0.25,-0.031,0.318,0.389,0.635,0.301
2023-02-23,0.573,0.301,,,,,0.559,0.293
2023-03-05,0.484,0.314,,,,,0.554,0.201
2023-03-07,0.539,0.246,0.24,-0.046,0.308,0.42,0.607,0.254
2023-03-15,0.539,0.408,0.243,0.03,0.288,0.482,0.704,0.374
2023-03-22,0.518,0.37,,,,,0.548,0.382
2023-04-04,0.639,0.496,0.281,0.069,0.298,0.431,0.849,0.485
2023-04-06,0.612,0.445,0.273,0.043,0.325,0.337,0.782,0.441
2023-04-09,0.632,0.473,0.296,0.048,0.314,0.367,0.793,0.453
2023-04-14,0.852,0.568,,,,,,
2023-04-21,0.694,0.548,0.354,0.13,0.368,0.374,0.78,0.517
2023-04-24,0.896,0.578,0.46,0.222,,,0.541,0.222
2023-04-26,,,0.356,0.214,,,,
2023-05-04,0.627,0.54,0.54,0.345,0.366,0.394,0.761,0.476
2023-05-21,,,0.748,0.389,0.475,0.323,,
2023-05-26,0.686,0.327,0.77,0.393,0.516,0.381,0.689,0.33
2023-05-29,0.696,0.52,0.709,0.42,0.446,0.449,0.649,0.316
2023-05-31,0.782,0.504,0.777,0.399,0.507,0.422,0.663,0.285
2023-06-03,0.715,0.44,0.748,0.43,0.481,0.478,0.703,0.348
2023-06-05,0.735,0.498,0.805,0.388,0.569,0.433,0.644,0.262
2023-06-08,0.668,0.481,0.735,0.419,0.481,0.461,0.6,0.25
2023-06-10,0.687,0.432,0.795,0.39,0.551,0.432,0.617,0.224
2023-06-13,0.615,0.423,0.721,0.425,0.49,0.475,0.55,0.217
2023-06-15,0.594,0.368,0.775,0.387,0.558,0.427,0.555,0.186
2023-06-23,0.582,0.301,0.809,0.404,,,,
2023-06-25,0.523,0.346,0.755,0.378,0.535,0.431,0.514,0.149
2023-06-28,0.482,0.293,0.66,0.376,0.638,0.456,0.468,0.139
2023-07-03,0.679,0.278,0.816,0.425,0.725,0.41,0.496,0.133
2023-07-10,0.601,0.176,0.803,0.357,0.588,0.38,,
2023-07-15,0.584,0.3,0.737,0.359,0.519,0.413,0.504,0.097
2023-07-18,0.596,0.373,0.652,0.379,0.442,0.406,0.497,0.156
2023-07-20,0.626,0.239,0.733,0.359,0.534,0.421,0.597,0.153
2023-07-23,0.681,0.351,0.666,0.326,0.509,0.349,0.56,0.216
2023-07-25,0.751,0.497,0.712,0.367,0.688,0.443,,
2023-08-02,,,0.717,0.416,0.326,0.513,0.879,0.371
2023-08-04,0.767,0.501,,,,,0.489,0.258
2023-08-07,,,,,0.457,0.383,,
2023-08-14,0.448,0.287,0.676,0.326,0.495,0.337,0.614,0.309
2023-08-17,0.728,0.427,0.592,0.37,0.402,0.443,0.618,0.225
2023-08-19,0.742,0.274,0.711,0.358,0.461,0.419,0.622,0.208
2023-08-22,0.685,0.318,0.628,0.374,0.429,0.462,0.679,0.256
2023-08-24,0.691,0.32,0.618,0.347,0.443,0.39,0.644,0.242
2023-09-01,0.49,0.228,0.619,0.399,0.455,0.385,0.6,0.275
2023-09-06,0.723,0.422,0.598,0.384,0.387,0.468,0.77,0.374
2023-09-08,0.774,0.404,0.649,0.365,0.453,0.462,0.824,0.368
2023-09-11,0.716,0.324,0.607,0.388,0.384,0.48,0.715,0.304
2023-09-16,0.627,0.235,0.581,0.39,0.403,0.438,0.746,0.337
2023-09-21,0.586,0.381,0.664,0.402,0.33,0.507,0.757,0.372
2023-09-26,0.568,0.357,0.563,0.395,0.375,0.516,0.782,0.408
2023-09-28,0.626,0.372,0.6,0.37,0.425,0.521,0.79,0.381
2023-10-01,0.675,0.353,0.564,0.403,0.399,0.538,0.792,0.402
2023-10-03,0.297,0.454,0.46,0.383,0.288,0.51,0.517,0.42
2023-10-08,0.715,0.365,0.569,0.351,0.414,0.45,0.752,0.364
2023-10-11,0.663,0.357,0.541,0.386,0.373,0.532,0.73,0.336
2023-10-13,0.656,0.343,0.545,0.348,0.398,0.488,0.687,0.299
2023-10-16,0.628,0.428,0.509,0.394,0.351,0.541,0.649,0.362
2023-10-28,0.685,0.418,0.504,0.338,0.384,0.519,0.733,0.378
2023-11-15,,,,,0.302,0.544,,
2023-12-07,,,,,0.435,0.604,,
2023-12-15,0.848,0.501,,,0.371,0.525,,
2023-12-27,0.544,0.388,0.237,0.101,0.347,0.527,0.649,0.441
2023-12-30,0.514,0.335,0.239,0.105,0.32,0.528,0.649,0.38
2024-01-04,,,,,,,0.599,0.424
2024-01-14,,,,,0.324,0.791,0.682,0.511
2024-01-29,0.628,0.43,,,0.31,0.533,0.493,0.406
2024-02-03,0.534,0.338,0.225,0.049,0.31,0.526,0.616,0.347
2024-02-05,0.574,0.358,,,0.37,0.447,0.629,0.313
2024-02-13,0.665,0.424,0.259,0.019,0.388,0.198,0.352,0.437
2024-02-20,0.581,0.421,0.256,0.067,,,0.778,0.377
2024-02-25,0.653,0.399,0.26,-0.008,0.347,0.467,0.687,0.364
2024-03-14,0.504,0.381,0.284,0.158,0.323,0.38,0.719,0.447
2024-03-24,0.844,0.526,,,,,,
2024-04-05,0.703,0.506,0.359,0.095,,,0.845,0.47
2024-04-08,0.5,0.41,0.392,0.228,,,,
2024-04-20,,,,,0.441,0.516,,
2024-04-30,0.665,0.426,0.631,0.381,0.428,0.39,0.717,0.441
2024-05-05,,,0.721,0.409,0.641,0.405,0.592,0.346
2024-05-10,0.739,0.563,0.756,0.416,0.467,0.431,0.723,0.359
2024-05-18,0.795,0.623,0.825,0.437,0.57,0.399,0.74,0.383
2024-05-25,0.732,0.438,,,0.718,0.365,0.975,0.485
2024-05-28,,,0.819,0.517,,,1.018,0.455
2024-06-12,0.528,0.518,0.786,0.439,0.528,0.46,0.792,0.393
2024-06-14,,,,,0.527,0.27,,
2024-06-19,0.497,0.37,0.739,0.377,0.507,0.401,0.731,0.356
2024-06-24,0.375,0.158,0.61,0.336,,,,
2024-06-27,0.501,0.274,0.869,0.43,0.62,0.461,0.907,0.384
2024-06-29,0.374,0.257,0.532,0.311,0.437,0.322,0.606,0.341
2024-07-04,,,,,,,0.669,0.361
2024-07-09,0.44,0.227,0.735,0.388,0.501,0.429,0.758,0.332
2024-07-12,0.418,0.36,,,,,,
2024-07-14,0.542,0.318,0.715,0.369,0.508,0.386,0.736,0.347
2024-07-19,0.61,0.325,0.723,0.37,0.526,0.423,0.747,0.337
2024-07-24,,,0.978,0.38,,,,
2024-07-27,0.6,0.334,0.675,0.399,0.451,0.462,0.672,0.282
2024-07-29,0.5,0.205,0.707,0.374,0.497,0.438,0.674,0.27
2024-08-01,0.437,0.364,0.528,0.424,,,0.518,0.442
2024-08-03,0.696,0.346,0.758,0.383,0.589,0.411,0.793,0.34
2024-08-06,0.563,0.272,0.661,0.409,0.435,0.481,0.72,0.325
2024-08-11,0.507,0.259,0.675,0.398,0.467,0.431,,
2024-08-13,0.696,0.351,0.706,0.382,0.505,0.439,0.785,0.337
2024-08-16,0.629,0.363,0.671,0.405,0.505,0.438,0.755,0.324
2024-08-21,0.619,0.365,0.52,0.441,0.392,0.319,,
2024-08-28,0.688,0.439,0.665,0.375,0.458,0.45,0.689,0.258
2024-08-31,0.6,0.375,0.627,0.388,0.417,0.439,0.658,0.257
2024-09-02,,,,,0.538,0.35,,
2024-09-07,0.568,0.258,0.633,0.384,0.427,0.468,0.681,0.28
2024-09-12,0.472,0.427,,,,,,
2024-09-15,0.676,0.442,0.595,0.435,0.516,0.555,0.556,0.429
2024-09-20,0.56,0.334,0.578,0.404,0.375,0.495,0.718,0.361
2024-09-22,0.442,0.238,0.592,0.396,0.5,0.45,,
2024-09-30,0.543,0.326,0.568,0.382,0.36,0.506,0.786,0.393
2024-10-02,,,0.404,0.235,,,,
2024-10-05,,,,,0.518,0.54,,
2024-10-07,0.396,0.323,0.661,0.378,0.272,0.419,0.733,0.332
2024-10-10,0.403,0.295,0.295,0.382,0.344,0.246,0.42,0.403
2024-10-12,0.412,0.36,0.397,0.296,,,0.602,0.435
2024-10-17,0.52,0.206,0.622,0.185,0.387,0.449,,
2024-10-22,0.614,0.368,0.429,0.184,0.346,0.487,0.545,0.418
2024-10-27,0.614,0.349,0.341,0.173,0.327,0.434,0.7,0.365
2024-11-01,0.697,0.353,0.343,0.119,0.347,0.436,0.571,0.306
2024-11-06,0.673,0.436,0.261,0.006,0.324,0.435,0.614,0.289
2024-11-14,,,,,,,0.556,0.295
2024-11-16,,,0.252,0.031,0.408,0.411,,
2024-11-26,0.535,0.346,,,0.271,0.472,0.56,0.311
2024-11-29,0.538,0.421,,,,,0.428,0.436
2024-12-01,0.62,0.294,,,0.33,0.523,0.649,0.311
2024-12-16,0.514,0.327,0.229,0.055,0.301,0.519,0.642,0.365
2024-12-21,,,,,0.455,0.442,,
2024-12-26,0.508,0.436,,,,,,
2024-12-31,,,,,0.366,0.632,0.728,0.307
2025-01-20,,,,,0.398,0.48,,
2025-01-25,0.38,0.246,0.261,-0.019,,,0.73,0.285
2025-02-04,,,,,0.373,0.306,,
2025-03-04,0.346,0.144,0.258,-0.007,0.279,0.484,0.605,0.317
2025-03-06,0.372,0.113,0.271,-0.029,0.316,0.408,0.596,0.279
2025-03-09,0.354,0.074,0.245,-0.04,0.249,0.372,0.585,0.268
2025-03-11,0.378,0.093,0.281,-0.014,0.334,0.37,0.617,0.278
2025-03-18,0.364,0.155,0.276,0.011,0.309,0.417,0.648,0.328
2025-03-19,0.385,0.152,0.262,-0.006,0.277,0.405,0.638,0.32
2025-03-31,,,,,0.397,0.243,,
2025-04-03,0.555,0.359,0.305,0.068,0.298,0.417,0.774,0.444
2025-04-05,0.562,0.328,0.32,0.061,0.332,0.363,0.788,0.431
2025-04-07,0.593,0.36,0.316,0.073,0.323,0.378,0.784,0.439
2025-04-08,0.586,0.353,0.315,0.083,0.297,0.365,0.775,0.438
2025-04-10,0.581,0.344,0.315,0.101,0.293,0.337,0.732,0.429
2025-04-15,,,,,,,0.971,0.45
2025-04-23,0.568,0.428,0.585,0.378,0.389,0.448,0.823,0.464
2025-04-27,,,0.407,0.396,,,0.887,0.424
2025-04-28,0.67,0.438,0.584,0.403,0.353,0.382,0.752,0.46
2025-04-30,0.652,0.443,0.746,0.425,0.44,0.411,0.827,0.461
